Device Name,Instance Name,Updated time (America/Los_Angeles),Packet Rate
csn501,network.interface.packets.out,11-Mar-2016 03:00:00 AM,752.92
csn501,network.interface.packets.out,11-Mar-2016 04:00:00 AM,779.63
csn501,network.interface.packets.out,11-Mar-2016 05:00:00 AM,748.94
csn501,network.interface.packets.out,11-Mar-2016 06:00:00 AM,769.51
csn501,network.interface.packets.out,11-Mar-2016 07:00:00 AM,770.49
csn501,network.interface.packets.out,11-Mar-2016 08:00:00 AM,778.45
csn501,network.interface.packets.out,11-Mar-2016 09:00:00 AM,767.89
csn501,network.interface.packets.out,11-Mar-2016 10:00:00 AM,762.53
csn501,network.interface.packets.out,11-Mar-2016 11:00:00 AM,778.15
csn501,network.interface.packets.out,11-Mar-2016 12:00:00 PM,768.78
csn501,network.interface.packets.out,11-Mar-2016 01:00:00 PM,776.56
csn501,network.interface.packets.out,11-Mar-2016 02:00:00 PM,751.04
