Device Name,Instance Name,Updated time (America/Los_Angeles),Utilization (%)
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:34,46.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:35,35
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:36,52.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:37,50.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:38,44.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:39,44.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:40,50.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:41,62.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:42,56
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:43,57.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:44,62.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:45,48.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:46,57.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:47,50.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:48,54.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:49,63.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:50,52.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:51,57.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:52,59.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:53,60.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:54,54.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:55,40.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:56,49.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:57,40.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:58,48.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 20:59,38.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:00,44.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:01,58.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:02,41.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:03,39.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:04,41.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:05,42.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:06,42.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:07,45.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:08,63.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:09,59.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:10,58.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:11,63.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:12,57.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:13,62.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:14,58.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:15,54.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:16,66.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:17,65
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:18,62.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:19,44.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:20,31.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:21,36.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:22,31.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:23,57.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:24,59.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:25,67.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:26,66.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:27,68.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:28,67.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:29,62.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:30,63.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:31,69.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:32,71.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:33,70.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:34,62.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:35,47.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:36,70.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:37,63.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:38,51.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:39,46
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:40,52.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:41,54.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:42,46.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:43,48.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:44,52.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:45,60.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:46,57.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:47,60.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:48,59.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:49,56
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:50,50.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:51,50.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:52,46.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:53,53.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:54,48.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:55,45.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:56,52.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:57,52.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 21:58,61.4
